Country,YR2017,YR2018,YR2019
Zimbabwe,1235.18903192064,1254.64226494434,1316.74065692871
Zambia,1535.19657398198,1516.36837125728,1305.00103080403
"Yemen, Rep.",964.264810541189,758.145241569423,
West Bank and Gaza,3620.36048715937,3562.33094270256,3656.85827137011
Virgin Islands (U.S.),35365.0693039774,36448.2574929206,38136.6657604365
Vietnam,2365.52161506114,2566.4474870063,2715.27598010995
"Venezuela, RB",,,
Vanuatu,3082.47508309466,3125.40499918952,3116.29775912529
Uzbekistan,1916.76464246779,1597.0683366109,1784.00981608195
Uruguay,18690.8938401411,18703.8602924478,17688.01500769
United States,60109.6557260477,63064.4184096731,65279.5290260953
United Kingdom,40857.7555829627,43646.9519711493,43070.4983595888
United Arab Emirates,40644.7911901772,43839.3244866903,42701.4430454782
Ukraine,2640.67567655839,3096.81740221352,3662.56308679667
Uganda,746.830752928351,770.600784343292,798.585734133959
Tuvalu,3574.06528751804,3701.70925450693,4055.89560959738
Turks and Caicos Islands,27545.1287854295,29553.1366979053,31350.8666282662
Turkmenistan,6587.09260439788,6967.37504258806,7612.03518009452
Turkey,10589.667724687,9454.34844272271,9121.51516673708
Tunisia,3687.77746085503,3680.89259713943,3574.65402418454
Trinidad and Tobago,16173.7400502023,17037.8623561897,16637.1629387697
Tonga,4513.4325306349,4740.70027224476,4903.01213835449
Togo,830.745276651438,901.523016898937,893.352454121675
Timor-Leste,1299.49463507231,1249.13835051953,1583.71357646622
Thailand,6593.81835157138,7296.87960772339,7817.00967118918
Tanzania,1004.90658838695,1042.83875856619,1085.88486100047
Tajikistan,848.672379903239,853.218873401321,890.544402355733
Syrian Arab Republic,942.518915865706,1268.23584864054,1334.37059333293
Switzerland,83352.0886533412,86388.4049527184,85334.5194620909
Sweden,53791.5087298403,54589.0603860606,51939.4297445291
Suriname,6295.56056173578,6938.08698147294,6853.69341077988
Sudan,1103.00002634177,825.868941119235,753.282174142999
St. Vincent and the Grenadines,7213.02585706279,7361.4009618002,7460.15336179271
St. Martin (French part),,,
St. Lucia,11034.6298496557,11353.7152084186,11591.0804756999
St. Kitts and Nevis,20384.7478810966,20567.4991135916,22046.6899120796
Sri Lanka,4077.04384087488,4059.20822984947,3852.26560287415
Spain,28100.5862419453,30349.7520984361,29555.3156985079
South Sudan,,,
South Africa,6690.93984735096,7005.09541266022,6624.76186493309
Somalia,309.054380310838,314.542677978565,320.03814830565
Solomon Islands,2332.84421585545,2411.86292635277,2344.04897615315
Slovenia,23455.9447259222,26104.1027889949,25942.9547741436
Slovak Republic,17494.7287902036,19380.5135070548,19303.5456581383
Sint Maarten (Dutch part),29369.0568278169,29160.1038110689,
Singapore,61176.4563611565,66679.0464899752,65640.7079484985
Sierra Leone,496.682294873131,533.991533265984,521.754836722241
Seychelles,15945.2649266263,15994.8198615534,16213.4807569248
Serbia,6292.54362926707,7252.40185773992,7417.20364852201
Senegal,1361.70197218375,1458.06909258145,1430.14825900162
Saudi Arabia,20802.4663134648,23337.0175494347,23139.7979808237
Sao Tome and Principe,1813.80743359704,1953.5132573676,1987.57970166818
San Marino,45399.0290605549,48996.592248824,47731.2085399347
Samoa,4258.97876710344,4187.50472923664,4322.86845664045
Rwanda,772.316989145919,783.637162814808,820.149288558594
Russian Federation,10720.3326583505,11287.3552780815,11497.6492498593
Romania,10807.0091671993,12398.9819787666,12899.3461112897
Qatar,59124.8672712073,65907.9484350408,62276.4286944365
Puerto Rico,31108.7605697675,31604.7015144578,32850.5486123592
Portugal,21437.3475036794,23551.0482905614,23330.817288932
Poland,13864.6817579973,15468.4822194105,15732.2031311754
Philippines,3123.24564174845,3252.11027410024,3485.3408438977
Peru,6710.50760214164,6957.79341149359,7027.61220697723
Paraguay,5678.8699722,5782.78454981286,5380.9633218413
Papua New Guinea,2695.24900855956,2801.37139302915,2820.30639650689
Panama,15146.4085115348,15544.9990788449,15774.2549406847
Palau,16019.9898927509,15895.2598961532,15232.4870840509
Pakistan,1464.9261954181,1482.21306651797,1288.55632450434
Oman,15127.8881927788,16521.2062279529,15343.0435000855
Norway,75496.7540581998,82267.809316159,75826.0818834173
Northern Mariana Islands,27584.7435149329,22886.6740494647,20659.6402915421
North Macedonia,5450.4928808666,6108.74010831698,6070.38805358275
Nigeria,1968.56539847444,2027.77854863842,2229.8586518613
Niger,517.771572271371,570.723921953592,554.099389259855
Nicaragua,2159.15671369193,2014.57518879047,1926.69969398276
New Zealand,42992.8952738896,43306.0700032372,42755.2162634522
New Caledonia,33976.5555540689,36382.487655681,34788.529281587
Netherlands,48554.9922761756,53018.6293562696,52476.2732533327
Nepal,1048.45375534427,1178.52593245237,1194.95687572575
Nauru,10339.385479551,11614.665076832,11029.7355824213
Namibia,5367.11467444788,5588.39286411942,5009.68590391401
Myanmar,1151.11446155062,1250.17369130663,1271.1115749486
Mozambique,461.415094120589,503.317925171139,506.641639083046
Morocco,3035.45443323105,3226.98279356862,3230.40972230151
Montenegro,7784.06528996557,8845.91421887296,8910.65083414613
Mongolia,3687.10000337811,4156.8469697802,4404.84583020208
Monaco,167517.059727856,185978.609251356,190512.737442436
Moldova,3509.69345025814,4230.3630367862,4491.6888269382
"Micronesia, Fed. Sts.",3289.64211697365,3568.291015625,3585.39244888455
Mexico,9287.84958732302,9686.98492655586,9950.45008048459
Mauritius,10484.9083620411,11208.3438184474,11097.168977137
Mauritania,1587.61126325063,1670.2041645288,1743.30290093768
Marshall Islands,3672.57678328424,3793.55098267479,4073.10982973584
Malta,28250.6977747589,30672.2922439038,30186.1959621979
Mali,830.021515346886,894.804776510366,879.043187300812
Maldives,9577.34694587865,10279.0799751619,10561.6135113508
Malaysia,10259.3048064811,11380.0820900475,11432.8229973018
Malawi,506.137294436399,544.593435393373,591.846389556646
Madagascar,515.293323373233,523.94597141966,522.989524271408
"Macao SAR, China",81019.4737666593,87526.0799912635,86197.3656943949
Luxembourg,109921.031443585,117197.48169363,113218.713349678
Lithuania,16843.699654691,19176.812150505,19575.768481407
Liechtenstein,171253.964253797,180366.715197575,175813.875592058
Libya,5756.69932474775,7877.12460954542,7685.94813248318
Liberia,721.085044013216,710.265998419581,672.340499220841
Lesotho,1102.94441037887,1192.4843195181,1113.37214033581
Lebanon,7819.60467019649,8058.44433692324,7578.17236808171
Latvia,15656.3474910518,17856.3071171976,17926.841589919
Lao PDR,2455.21155944893,2569.09389217251,2635.80001503359
Kyrgyz Republic,1242.76964282023,1308.14016549619,1374.03210467421
Kuwait,29759.4674745278,33399.0604365842,32373.2511220507
Kosovo,4009.38098680368,4384.0488917319,4416.10835754636
"Korea, Rep.",31616.8434004683,33422.9442100836,31936.7963534728
"Korea, Dem. People's Rep.",,,
Kiribati,1640.57120522974,1727.84500131644,1601.86186855285
Kenya,1633.49121639293,1794.0911754468,1912.64786680344
Kazakhstan,9247.58133129626,9812.62637077396,9812.5958082732
Jordan,4231.51827999134,4308.1510738997,4405.48710929391
Japan,38891.0862716856,39808.1685608793,40777.6086970512
Jamaica,5070.0995030616,5359.99378939638,5369.4983713849
Italy,32326.6742113994,34605.2627252058,33641.6337513622
Israel,40774.1296073227,42063.4531274811,43951.2477305677
Isle of Man,83477.834285154,89112.6677158571,86481.5525905339
Ireland,69601.683881773,79068.9746116787,80886.6157387104
Iraq,4985.45287942996,5915.85085369644,5980.6269179797
"Iran, Islamic Rep.",5520.31478213998,3598.48345396129,3114.62275284063
Indonesia,3837.57802362633,3893.85957814877,4135.20153132694
India,1980.66701982802,1996.91508739789,2100.75146060805
Iceland,72010.1490316258,74469.8040591559,68941.4622272394
Hungary,14623.6966492311,16427.3727611478,16735.6597794761
"Hong Kong SAR, China",46165.8565115953,48542.6818699161,48354.473367413
Honduras,2436.6716359867,2492.86896769136,2556.45689068459
Haiti,1369.06373395137,1479.3458268885,1312.77063606676
Guyana,6124.95366998759,6145.81927664377,6609.51127954588
Guinea-Bissau,738.549944890782,802.767385116156,749.453747028806
Guinea,855.575270552124,955.111281136711,1058.14336817356
Guatemala,4454.04814983548,4478.42464550944,4638.63494319511
Guam,36601.9198811792,36556.6749110213,38040.5869870588
Grenada,10152.8328118872,10466.8822111958,10827.4352905074
Greenland,50765.6956477233,54270.8223055238,53041.303310196
Greece,18536.1907178433,19747.3425837935,19133.7577636254
Gibraltar,,,
Ghana,2074.29073272269,2260.86056729337,2246.62557816432
Germany,44542.2952040833,47950.1808142041,46794.8992915603
Georgia,4357.00093554628,4722.78778321766,4697.98365238984
"Gambia, The",679.75507172296,732.720727318856,772.045914215139
Gabon,7230.43491161979,7959.00726736376,7766.99655422948
French Polynesia,,,
France,38685.2584944953,41572.4850099629,40578.6442850534
Finland,46297.4963459994,49964.4999098426,48678.3141318652
Fiji,6101.02388950081,6317.41372015123,6175.89065331713
Faroe Islands,59993.0906266559,62918.1461936121,64225.2649049837
Ethiopia,768.523015429372,771.524866349431,855.760885186903
Eswatini,3914.41848379603,4105.89368278939,3915.64346723669
Estonia,20387.2831474612,23052.3012559586,23397.1200148694
Eritrea,,,
Equatorial Guinea,9667.8578009346,10005.6167917268,8419.9333361253
El Salvador,3910.25440332717,4052.62477533742,4167.73093878563
"Egypt, Arab Rep.",2444.29038718448,2537.12518504712,3019.09228346646
Ecuador,6213.50312736888,6295.93466163992,6222.52465327248
Dominican Republic,7609.35327534023,8050.64407623416,8282.11713050921
