Country,YR2017,YR2018,YR2019
Zimbabwe,3730.0,3950.0,3710.0
Zambia,3330.0,3550.0,3550.0
"Yemen, Rep.",,,
West Bank and Gaza,7250.0,7580.0,7660.0
Virgin Islands (U.S.),,,
Vietnam,6610.0,7270.0,7840.0
"Venezuela, RB",,,
Vanuatu,3090.0,3260.0,3530.0
Uzbekistan,6970.0,7460.0,7750.0
Uruguay,21730.0,22250.0,22850.0
United States,61190.0,64090.0,66120.0
United Kingdom,45770.0,47190.0,49050.0
United Arab Emirates,67670.0,68810.0,71500.0
Ukraine,12140.0,12960.0,13750.0
Uganda,2030.0,2110.0,2220.0
Tuvalu,5570.0,6080.0,6160.0
Turks and Caicos Islands,26620.0,28010.0,29620.0
Turkmenistan,13620.0,14560.0,15600.0
Turkey,27550.0,27520.0,26840.0
Tunisia,10910.0,11290.0,11410.0
Trinidad and Tobago,26540.0,26120.0,26720.0
Tonga,6720.0,6960.0,7180.0
Togo,2010.0,2120.0,2220.0
Timor-Leste,4500.0,4530.0,5040.0
Thailand,16640.0,17630.0,18530.0
Tanzania,2470.0,2620.0,2810.0
Tajikistan,3730.0,4050.0,4330.0
Syrian Arab Republic,,,
Switzerland,68170.0,68810.0,70510.0
Sweden,52850.0,54570.0,56950.0
Suriname,16280.0,17570.0,17790.0
Sudan,4270.0,4360.0,4140.0
St. Vincent and the Grenadines,12190.0,12740.0,12910.0
St. Martin (French part),,,
St. Lucia,14130.0,14800.0,14990.0
St. Kitts and Nevis,25740.0,26940.0,28600.0
Sri Lanka,12250.0,12810.0,13230.0
Spain,39540.0,40750.0,42260.0
South Sudan,,,
South Africa,13480.0,13810.0,13930.0
Somalia,860.0,910.0,970.0
Solomon Islands,2610.0,2730.0,2740.0
Slovenia,35850.0,38340.0,40570.0
Slovak Republic,29520.0,31100.0,32040.0
Sint Maarten (Dutch part),37080.0,35390.0,
Singapore,88090.0,88930.0,90320.0
Sierra Leone,1590.0,1580.0,1750.0
Seychelles,25220.0,27530.0,27700.0
Serbia,15540.0,16830.0,17920.0
Senegal,3110.0,3300.0,3410.0
Saudi Arabia,48040.0,49210.0,49440.0
Sao Tome and Principe,3940.0,4090.0,4160.0
San Marino,,,
Samoa,6290.0,6310.0,6620.0
Rwanda,1910.0,2060.0,2240.0
Russian Federation,25230.0,27980.0,28260.0
Romania,26760.0,28710.0,31860.0
Qatar,91500.0,91250.0,91430.0
Puerto Rico,22940.0,23570.0,24470.0
Portugal,32270.0,34080.0,35990.0
Poland,28820.0,30660.0,32830.0
Philippines,9020.0,9650.0,10220.0
Peru,11930.0,12430.0,12820.0
Paraguay,12170.0,12700.0,12760.0
Papua New Guinea,4200.0,4180.0,4290.0
Panama,28610.0,29560.0,30570.0
Palau,18910.0,19430.0,19130.0
Pakistan,4500.0,4770.0,4800.0
Oman,27770.0,27200.0,26240.0
Norway,66400.0,72330.0,70330.0
Northern Mariana Islands,,,
North Macedonia,15080.0,16020.0,16910.0
Nigeria,5030.0,5040.0,5180.0
Niger,1210.0,1290.0,1330.0
Nicaragua,5690.0,5570.0,5470.0
New Zealand,40700.0,42360.0,43950.0
New Caledonia,,,
Netherlands,55510.0,58560.0,59920.0
Nepal,3600.0,3890.0,4160.0
Nauru,18170.0,18730.0,20740.0
Namibia,9990.0,9950.0,9980.0
Myanmar,4110.0,4440.0,4770.0
Mozambique,1250.0,1290.0,1310.0
Morocco,7170.0,7480.0,7700.0
Montenegro,20090.0,21800.0,23610.0
Mongolia,9770.0,11160.0,11570.0
Monaco,,,
Moldova,12320.0,13270.0,14280.0
"Micronesia, Fed. Sts.",3960.0,3630.0,4020.0
Mexico,19210.0,19710.0,19860.0
Mauritius,23540.0,25460.0,26790.0
Mauritania,5040.0,5290.0,5500.0
Marshall Islands,4770.0,4990.0,5190.0
Malta,38300.0,41160.0,43240.0
Mali,2170.0,2270.0,2330.0
Maldives,16630.0,17460.0,18310.0
Malaysia,25910.0,27360.0,28850.0
Malawi,1440.0,1480.0,1560.0
Madagascar,1540.0,1590.0,1630.0
"Macao SAR, China",112280.0,119940.0,117450.0
Luxembourg,82300.0,83010.0,79060.0
Lithuania,32540.0,35240.0,37450.0
Liechtenstein,,,
Libya,13690.0,15650.0,16270.0
Liberia,1420.0,1380.0,1370.0
Lesotho,3030.0,3050.0,3060.0
Lebanon,15980.0,15960.0,15000.0
Latvia,28600.0,30310.0,31760.0
Lao PDR,6870.0,7410.0,7730.0
Kyrgyz Republic,4800.0,5100.0,5000.0
Kuwait,58770.0,58550.0,58930.0
Kosovo,10650.0,11200.0,12070.0
"Korea, Rep.",41120.0,42660.0,43220.0
"Korea, Dem. People's Rep.",,,
Kiribati,4280.0,4290.0,4860.0
Kenya,4130.0,4380.0,4570.0
Kazakhstan,22160.0,22940.0,24040.0
Jordan,9950.0,10210.0,10500.0
Japan,42430.0,43220.0,43760.0
Jamaica,9330.0,9590.0,9910.0
Italy,41810.0,43600.0,45340.0
Israel,38920.0,40660.0,42060.0
Isle of Man,,,
Ireland,61730.0,65570.0,69500.0
Iraq,10450.0,10730.0,11340.0
"Iran, Islamic Rep.",14560.0,13870.0,12920.0
Indonesia,10590.0,11300.0,11940.0
India,6120.0,6600.0,6930.0
Iceland,53920.0,55340.0,59590.0
Hungary,28310.0,30620.0,33070.0
"Hong Kong SAR, China",62450.0,65500.0,65240.0
Honduras,5220.0,5360.0,5520.0
Haiti,3170.0,3250.0,3210.0
Guyana,11980.0,12700.0,13510.0
Guinea-Bissau,1930.0,1880.0,2060.0
Guinea,2410.0,2470.0,2540.0
Guatemala,8150.0,8490.0,8850.0
Guam,,,
Grenada,14470.0,15550.0,15880.0
Greenland,,,
Greece,28460.0,29330.0,30560.0
Gibraltar,,,
