Country,YR2017,YR2018,YR2019
Zimbabwe,112.74193573,140.3203125,
Zambia,67.50799561,75.99179077,
"Yemen, Rep.",,,
West Bank and Gaza,,,
Virgin Islands (U.S.),,,
Vietnam,140.16532898,151.68611145,
"Venezuela, RB",524.91345215,256.94689941,
Vanuatu,85.10228729,105.3915863,
Uzbekistan,93.00417328,82.26926422,
Uruguay,1648.87463379,1590.04821777,
United States,10209.63085938,10623.84960938,
United Kingdom,3978.6171875,4315.42773438,
United Arab Emirates,1650.01855469,1817.34765625,
Ukraine,187.3952179,228.39007568,
Uganda,41.95800781,43.13787842,
Tuvalu,633.36108398,692.52111816,
Turks and Caicos Islands,,,
Turkmenistan,456.73553467,460.17514038,
Turkey,442.61761475,389.86557007,
Tunisia,252.72486877,251.54672241,
Trinidad and Tobago,1128.59362793,1123.42370605,
Tonga,232.75964355,236.93453979,
Togo,37.47055817,41.83677292,
Timor-Leste,86.74797058,93.69417572,
Thailand,252.07806396,275.91650391,
Tanzania,35.4696846,36.82281494,
Tajikistan,58.16766357,59.84311676,
Syrian Arab Republic,,,
Switzerland,9606.34960938,9870.6640625,
Sweden,5838.21533203,5981.70605469,
Suriname,335.10848999,474.1265564,
Sudan,192.60665894,60.17465973,
St. Vincent and the Grenadines,310.64202881,329.25665283,
St. Martin (French part),,,
St. Lucia,473.31924438,464.70913696,
St. Kitts and Nevis,1030.47888184,992.59179688,
Sri Lanka,158.7149353,157.46585083,
Spain,2522.64428711,2736.32324219,
South Sudan,26.38130379,26.78586388,
South Africa,497.04705811,525.95690918,
Somalia,,,
Solomon Islands,97.43276978,94.96378326,
Slovenia,1925.03479004,2169.57910156,
Slovak Republic,1189.07226563,1299.91137695,
Sint Maarten (Dutch part),,,
Singapore,2619.08081055,2823.63818359,
Sierra Leone,82.54949188,85.77548218,
Seychelles,777.85449219,833.07897949,
Serbia,515.84588623,617.08654785,
Senegal,55.10048676,58.90360641,
Saudi Arabia,1456.9395752,1484.59338379,
Sao Tome and Principe,117.01068115,125.40039825,
San Marino,3287.47387695,3463.70068359,
Samoa,235.40707397,227.32792664,
Rwanda,52.86735153,58.30852127,
Russian Federation,579.67218018,609.00915527,
Romania,555.11309814,687.25439453,
Qatar,1667.37255859,1716.26513672,
Puerto Rico,,,
Portugal,2003.26330566,2215.17358398,
Poland,909.57818604,978.73565674,
Philippines,132.57896423,136.53881836,
Peru,340.19854736,369.07846069,
Paraguay,378.01821899,400.39273071,
Papua New Guinea,60.09675598,63.7678833,
Panama,1046.33679199,1131.66015625,
Palau,1947.85327148,1723.45532227,
Pakistan,42.25715637,42.87313461,
Oman,601.21783447,678.23101807,
Norway,7815.78662109,8239.09570313,
